Wvlgth nm,Global tilt  W*m-2*nm-1
1087,5.67E-01
1088,5.93E-01
1089,5.79E-01
1090,5.56E-01
1091,5.88E-01
1092,5.81E-01
1093,5.11E-01
1094,5.40E-01
1095,5.21E-01
1096,5.03E-01
1097,5.79E-01
1098,5.03E-01
1099,5.08E-01
1100,4.86E-01
1101,4.97E-01
1102,4.69E-01
1103,4.66E-01
1104,4.68E-01
1105,5.06E-01
1106,3.98E-01
1107,4.83E-01
1108,4.16E-01
1109,4.13E-01
1110,4.79E-01
1111,3.32E-01
1112,4.14E-01
1113,2.69E-01
1114,3.00E-01
1115,2.50E-01
1116,2.01E-01
1117,7.96E-02
1118,2.18E-01
1119,1.13E-01
1120,1.42E-01
1121,1.86E-01
1122,8.17E-02
1123,1.28E-01
1124,1.09E-01
1125,1.44E-01
1126,5.16E-02
1127,1.57E-01
1128,9.92E-02
1129,1.06E-01
1130,7.06E-02
1131,2.96E-01
1132,2.34E-01
1133,1.53E-01
1134,4.17E-02
1135,1.55E-02
1136,1.29E-01
1137,2.88E-01
1138,2.03E-01
1139,2.99E-01
1140,2.56E-01
1141,1.93E-01
1142,2.25E-01
1143,3.12E-01
1144,1.13E-01
1145,1.46E-01
1146,1.58E-01
1147,5.92E-02
1148,2.71E-01
1149,2.19E-01
1150,1.22E-01
1151,2.03E-01
1152,2.48E-01
1153,2.38E-01
1154,1.42E-01
1155,3.13E-01
1156,2.81E-01
1157,3.15E-01
1158,3.12E-01
1159,3.37E-01
1160,2.86E-01
1161,3.48E-01
1162,3.50E-01
1163,4.69E-01
1164,4.02E-01
1165,3.89E-01
1166,3.75E-01
1167,4.10E-01
1168,4.20E-01
1169,4.23E-01
1170,4.59E-01
1171,4.48E-01
1172,4.55E-01
1173,4.56E-01
1174,3.37E-01
1175,4.52E-01
1176,4.77E-01
1177,4.72E-01
1178,3.60E-01
1179,4.84E-01
1180,4.41E-01
1181,4.55E-01
1182,3.23E-01
1183,4.39E-01
1184,4.20E-01
1185,4.07E-01
1186,4.77E-01
1187,4.56E-01
1188,3.35E-01
1189,4.16E-01
1190,4.62E-01
1191,4.47E-01
1192,4.73E-01
1193,4.54E-01
1194,4.69E-01
1195,4.47E-01
1196,4.31E-01
1197,4.77E-01
1198,4.34E-01
1199,3.65E-01
1200,4.48E-01
1201,4.37E-01
1202,4.37E-01
1203,4.34E-01
1204,3.62E-01
1205,4.37E-01
1206,4.81E-01
1207,4.30E-01
1208,4.33E-01
1209,4.14E-01
1210,4.53E-01
1211,4.22E-01
1212,4.25E-01
1213,4.70E-01
1214,4.34E-01
1215,4.28E-01
1216,4.66E-01
1217,4.55E-01
1218,4.59E-01
1219,4.47E-01
1220,4.58E-01
1221,4.65E-01
1222,4.51E-01
1223,4.44E-01
1224,4.48E-01
1225,4.62E-01
1226,4.68E-01
1227,4.33E-01
1228,4.67E-01
1229,4.67E-01
1230,4.60E-01
1231,4.72E-01
1232,4.66E-01
1233,4.54E-01
1234,4.70E-01
1235,4.65E-01
1236,4.69E-01
1237,4.63E-01
1238,4.68E-01
1239,4.63E-01
1240,4.61E-01
1241,4.62E-01
1242,4.62E-01
1243,4.58E-01
1244,4.55E-01
1245,4.57E-01
1246,4.59E-01
1247,4.57E-01
1248,4.59E-01
1249,4.60E-01
1250,4.57E-01
1251,4.53E-01
1252,4.51E-01
1253,4.48E-01
1254,4.44E-01
1255,4.51E-01
1256,4.40E-01
1257,4.35E-01
1258,4.45E-01
1259,4.27E-01
1260,4.31E-01
1261,4.11E-01
1262,3.96E-01
1263,4.00E-01
1264,3.71E-01
1265,3.96E-01
1266,3.85E-01
1267,3.88E-01
1268,3.71E-01
1269,2.47E-01
1270,3.87E-01
1271,4.08E-01
1272,4.09E-01
1273,4.06E-01
1274,4.06E-01
1275,4.12E-01
1276,4.17E-01
1277,4.20E-01
1278,4.28E-01
1279,4.25E-01
1280,4.22E-01
1281,4.13E-01
1282,3.73E-01
1283,4.07E-01
1284,4.21E-01
1285,4.24E-01
1286,4.27E-01
1287,4.22E-01
1288,4.20E-01
1289,4.09E-01
1290,4.13E-01
1291,4.18E-01
1292,3.96E-01
1293,4.13E-01
1294,4.04E-01
1295,4.05E-01
1296,3.90E-01
1297,3.71E-01
1298,3.92E-01
1299,4.09E-01
1300,3.53E-01
1301,3.62E-01
1302,3.92E-01
1303,3.46E-01
1304,3.01E-01
1305,3.84E-01
1306,3.85E-01
1307,3.06E-01
1308,3.47E-01
1309,3.84E-01
1310,3.01E-01
1311,3.34E-01
1312,3.33E-01
1313,3.14E-01
1314,2.88E-01
1315,2.86E-01
1316,3.24E-01
1317,3.12E-01
1318,3.33E-01
1319,2.69E-01
1320,2.59E-01
1321,2.99E-01
1322,3.02E-01
1323,2.33E-01
1324,2.62E-01
1325,3.22E-01
1326,2.81E-01
1327,2.66E-01
1328,2.35E-01
1329,1.78E-01
1330,2.29E-01
1331,1.45E-01
1332,1.46E-01
1333,2.03E-01
1334,1.69E-01
1335,2.31E-01
1336,1.83E-01
1337,1.65E-01
1338,1.78E-01
1339,1.77E-01
1340,1.68E-01
1341,1.70E-01
1342,1.78E-01
1343,1.27E-01
1344,7.56E-02
1345,1.09E-01
1346,5.82E-02
1347,6.01E-02
1348,4.75E-03
1349,1.62E-02
1350,1.60E-02
1351,4.63E-03
1352,1.52E-03
1353,9.61E-05
1354,2.90E-04
1355,3.60E-06
1356,4.81E-05
1357,7.18E-05
1358,4.19E-06
1359,7.34E-07
1360,2.14E-06
1361,4.81E-09
1362,1.81E-11
1363,3.16E-06
1364,1.36E-06
1365,9.08E-12
1366,1.28E-05
1367,4.98E-06
1368,1.48E-13
1369,5.17E-07
1370,2.92E-07
1371,1.97E-08
1372,2.75E-06
1373,4.44E-05
1374,1.79E-04
1375,3.23E-04
1376,2.57E-04
1377,1.23E-04
1378,1.11E-03
1379,5.22E-05
1380,8.16E-05
1381,2.37E-06
1382,2.57E-06
1383,4.40E-08
1384,6.17E-07
1385,2.09E-06
1386,2.52E-06
1387,1.99E-04
1388,4.03E-06
1389,5.81E-04
1390,4.93E-04
1391,3.44E-04
1392,2.38E-05
1393,1.16E-04
1394,7.55E-05
1395,6.71E-07
1396,6.32E-09
1397,4.91E-05
1398,1.27E-03
1399,8.12E-04
1400,3.25E-09
1401,1.05E-08
1402,1.84E-03
1403,2.38E-03
1404,7.39E-04
1405,3.64E-07
1406,2.04E-03
1407,1.75E-04
1408,1.65E-03
1409,6.19E-04
1410,4.67E-04
1411,2.11E-03
1412,2.64E-03
1413,2.34E-02
1414,3.64E-04
1415,1.84E-04
1416,3.56E-02
1417,1.18E-02
1418,1.36E-02
1419,2.14E-03
1420,8.27E-03
1421,9.16E-03
1422,4.63E-02
1423,9.22E-03
1424,1.70E-02
1425,2.59E-02
1426,2.78E-02
1427,4.95E-02
1428,4.56E-03
1429,3.80E-02
1430,6.16E-02
1431,5.02E-02
1432,2.52E-03
1433,3.58E-02
1434,2.10E-02
1435,2.14E-02
1436,3.84E-02
1437,2.99E-02
1438,1.33E-02
1439,5.10E-02
1440,3.96E-02
1441,3.18E-02
1442,3.63E-02
1443,4.51E-02
1444,6.18E-02
1445,4.98E-02
1446,2.31E-02
1447,3.62E-02
1448,1.16E-01
1449,1.02E-01
1450,2.74E-02
1451,1.13E-02
1452,6.24E-02
1453,8.20E-02
1454,1.38E-01
1455,6.62E-02
1456,8.85E-02
1457,1.17E-01
1458,1.36E-01
1459,1.63E-01
1460,8.54E-02
1461,9.03E-02
1462,1.31E-01
1463,4.32E-02
1464,1.52E-01
1465,9.34E-02
1466,6.52E-02
1467,3.61E-02
1468,7.69E-02
1469,9.48E-02
1470,4.97E-02
1471,1.78E-02
1472,4.68E-02
1473,7.02E-02
1474,9.73E-02
1475,1.85E-01
1476,6.88E-02
1477,6.97E-02
1478,6.35E-02
1479,1.20E-01
1480,6.06E-02
1481,1.15E-01
1482,5.85E-02
1483,1.49E-01
1484,1.37E-01
1485,1.25E-01
1486,1.23E-01
1487,6.06E-02
1488,9.42E-02
1489,1.90E-01
1490,1.75E-01
1491,1.98E-01
1492,1.64E-01
1493,1.82E-01
1494,2.04E-01
1495,1.83E-01
1496,1.69E-01
1497,2.29E-01
1498,1.90E-01
1499,2.18E-01
1500,2.51E-01
1501,2.66E-01
1502,2.34E-01
1503,1.85E-01
1504,1.60E-01
1505,1.84E-01
1506,2.58E-01
1507,2.55E-01
1508,2.43E-01
1509,1.87E-01
1510,2.71E-01
1511,2.65E-01
1512,2.61E-01
1513,2.42E-01
1514,2.26E-01
1515,2.66E-01
1516,2.57E-01
1517,2.49E-01
1518,2.52E-01
1519,2.44E-01
1520,2.65E-01
1521,2.75E-01
1522,2.64E-01
1523,2.80E-01
1524,2.75E-01
1525,2.59E-01
1526,2.67E-01
1527,2.62E-01
1528,2.79E-01
1529,2.72E-01
1530,2.55E-01
1531,2.70E-01
1532,2.78E-01
1533,2.77E-01
1534,2.69E-01
1535,2.67E-01
1536,2.75E-01
1537,2.73E-01
1538,2.72E-01
1539,2.73E-01
1540,2.65E-01
1541,2.69E-01
1542,2.69E-01
1543,2.72E-01
1544,2.72E-01
1545,2.77E-01
1546,2.75E-01
1547,2.73E-01
1548,2.67E-01
1549,2.73E-01
1550,2.70E-01
1551,2.71E-01
1552,2.72E-01
1553,2.71E-01
1554,2.65E-01
1555,2.68E-01
1556,2.63E-01
1557,2.71E-01
1558,2.68E-01
1559,2.68E-01
1560,2.66E-01
1561,2.70E-01
1562,2.68E-01
1563,2.67E-01
1564,2.63E-01
1565,2.67E-01
1566,2.62E-01
1567,2.63E-01
1568,2.57E-01
1569,2.55E-01
1570,2.42E-01
1571,2.35E-01
1572,2.38E-01
1573,2.34E-01
1574,2.41E-01
1575,2.40E-01
1576,2.47E-01
1577,2.16E-01
1578,2.35E-01
1579,2.37E-01
1580,2.45E-01
1581,2.49E-01
1582,2.42E-01
1583,2.48E-01
1584,2.49E-01
1585,2.59E-01
1586,2.56E-01
1587,2.53E-01
1588,2.51E-01
1589,2.32E-01
1590,2.42E-01
1591,2.42E-01
1592,2.52E-01
1593,2.58E-01
1594,2.56E-01
1595,2.58E-01
1596,2.45E-01
1597,2.47E-01
1598,2.54E-01
1599,2.42E-01
1600,2.38E-01
1601,2.23E-01
1602,2.24E-01
1603,2.24E-01
1604,2.28E-01
1605,2.37E-01
1606,2.41E-01
1607,2.33E-01
1608,2.30E-01
